Number,Name,Expiration,Issued,Status,Capacity,Company,Waterway,State
2088,SOUTH FEATHER POWER                ,3/31/09,7/21/52,Expired,104100,SOUTH FEATHER WATER AND POWER AGENC,SOUTH FORK FEATHER RIVER           ,CA
2086,VERMILION VALLEY                   ,8/31/03,9/29/53,Expired,0,SOUTHERN CALIFORNIA EDISON CO  (CA),MONO CREEK                         ,CA
2107,POE                                ,9/30/03,10/26/53,Expired,142830,PACIFIC GAS AND ELECTRIC CO      (C,NORTH FORK FEATHER RIVER           ,CA
2082,KLAMATH                            ,2/28/06,1/28/54,Expired,161338,PACIFICORP                     (OR),KLAMATH RIVER                      ,OR
2105,UPPER NORTH FORK FEATHER RIVER     ,10/31/04,1/24/55,Expired,342628,PACIFIC GAS AND ELECTRIC CO      (C,NORTH FORK FEATHER RIVER           ,CA
2174,PORTAL                             ,3/31/05,4/19/55,Expired,10800,SOUTHERN CALIFORNIA EDISON CO  (CA),RANCHERIA CREEK                    ,CA
1971,HELLS CANYON                       ,7/31/05,8/4/55,Expired,1166900,IDAHO POWER CO                 (ID),SNAKE RIVER                        ,OR
2100,FEATHER RIVER (PS&CON)             ,1/31/07,2/11/57,Expired,762850,CALIFORNIA DEPT-WTR RESOURCES  (CA),FEATHER RIVER                      ,CA
2085,MAMMOTH POOL                       ,11/30/07,12/30/57,Expired,150938,SOUTHERN CALIFORNIA EDISON CO  (CA),SAN JOAQUIN RIVER                  ,CA
2197,YADKIN                             ,4/30/08,5/1/58,Expired,221440,ALCOA POWER GENERATING INC.        ,YADKIN RIVER                       ,NC
2225,SULLIVAN LAKE (STORAGE)            ,9/30/08,11/25/58,Expired,0,PUD NO 1 OF PEND OREILLE CNTY  (WA),SULLIVAN CREEK                     ,WA
2242,CARMEN-SMITH                       ,11/30/08,1/8/59,Expired,91995,EUGENE WATER & ELECTRIC BOARD      ,MCKENZIE RIVER                     ,OR
2175,BIG CREEK NO.1 & NO.2              ,2/28/09,3/27/59,Expired,150150,SOUTHERN CALIFORNIA EDISON CO  (CA),SAN JOAQUIN RIVER                  ,CA
2244,PACKWOOD LAKE                      ,2/28/10,7/7/60,Expired,26125,ENERGY NORTHWEST                   ,LAKE CREEK                         ,WA
