Name,Operator,Type,Status,Completed,Year,State,Region,Cost,Miles,Capacity,Diameter,Pipeline,Authority,Docket
North Slope to Central Alaska,Enstar/ANGDA,New Pipeline,Announced,,NA,AK,Alaska,3800,700,460," 24,20 ", Intrastate ,State,na
Utica Ohio River Project,Regency Energy Partners /American Energy,Expansion,Announced,,NA,OH,Northeast,500,52,2100, 36 , Interstate ,FERC,na
North Elko Pipeline Project,Prospector Pipeline,Lateral,Announced,,NA,NV,Western,, 24 ,,12,Intrastate,State,na
Lebanon lateral project phase 2,ANR Pipeline,reversal,Announced,,NA,"IN,OH",Northeast,,,290,, Interstate ,FERC,na
Ryckman Storage Lateral,,Lateral,Applied,,NA,WY,Central,, 4 ,,"16,20",Interstate,FERC,PF10-18
North-South Project,Southern California,New Pipeline,Announced,,NA,CA,Western, 629 , 90 ,,,Intrastate,State,na
Windsor Project,Self-Gen,Expansion,Announced,,NA,ME,Northeast,,,,,Intrastate,State,na
The Alaska Pipeline,TransCanada Pipeline LTD and ExxonMobil,New Pipeline,Announced,,NA,"AK,YK","Alaska,British Columbia"," 41,000 ", 750 ," 4,500 ",48,Interstate,FERC,PF09-11
Silo Pipeline Project,Kaiser-Frontier Midstream,New Pipeline,Appoved,,NA,"WY,CO",,, 31 , 5 ,6,Interstate,FERC,CP15-26
Sawgrass Storage Mainline,Sawgrass Storage LLC,Lateral,Approved,,NA,LA,Southwest,, 14 , 300 ,"30,24",Interstate,FERC,CP11-523
Canadian Blackwell Expansion Project,Southern Star Central Gas Pipeline,Expansion,Announced,,NA,TX,Southwest,,,,,Interstate,FERC,na
(SEML) Southeast Mainline System Reversal,ANR Pipeline,reversal,Announced,,NA,"IN,KY,TN,MS,AR,LA","Northeast,Southwest",100,,1000,, Interstate ,FERC,na
LaSalle Residue Line,DCP Midstream,Lateral,Approved,,NA,CO,Central, 12 , 11 , 230 ,,Interstate,FERC,CP11-549
St. Charles Project,Dominion Cove Point LNG,Expansion,Approved,,NA,MD,Northeast, 31 ,, 132 ,,Interstate,FERC,CP15-22
Keys Energy Project,Dominion Cove Point LNG,Expansion,Approved,,NA,MD,Northeast,37,,107,, Interstate ,FERC,CP15-24
ANR East Pipeline Project,ANR Pipeline,New Pipeline,Announced,,NA,"OH,IN","Northeast,Midwest",, 320 ," 2,000 ",,Interstate,FERC,na
Virginia Power Link,Columbia Gas Transmission,Lateral,Applied,,NA,VA,Northeast, 34 , 2 , 224 ,24,Interstate,FERC,CP11-490
Alaska LNG project,ExxonMobil /ConocoPhillips /BP /TransCanada /state of Alaska,New Pipeline,Announced,,NA,AK,Alaska,, 805 ," 3,500 ",42,Intrastate,State,na
Constitution Pipeline,Constitution Pipeline Co,New Pipeline,Approved,,2017,"PA,NY",Northeast, 683 , 121 , 650 ,30,Interstate,FERC,CP13-499
Hillabee Expansion phase 3,Transcontinental Gas Pipeline,Expansion,Filed,,2021,AL,Southeast,, 13 , 106 ,42,Interstate,FERC,CP15-16
Hillabee Expansion phase 2,Transcontinental Gas Pipeline,Expansion,Filed,,2020,AL,Southeast,, 11 , 206 ,42,Interstate,FERC,CP15-16
MPEH Pipeline Project,McMoran Exploration Inc,New Pipeline,Approved,,2020,"GM,AL","Gulf of Mexico,Southeast",120,97,1600, 36 , Interstate ,Coast Guard,USCG-2004-17696
Port Arthur Pipeline,Port Arthur Pipeline,New Pipeline,Announced,,2020,TX,South Central,, 34 ,1600,42,Interstate,FERC,na
Gulf Coast Market Expansion Project,Natural Gas Pipeline Company of America,Reversal,Announced,,2019,"IL,AR,TX","Midwest,Southwest", 212 ,, 750 ,,Interstate,FERC,na
Roadrunner Gas Transmission phase 3,ONEOK Partners/ Fermaca Infrastructure,New Pipeline,Announced,,2019,"TX,MX","Southwest,Mexico", 55 ,, 70 ,30,Interstate,FERC,na
Magnolia Intrastate (Magnolia Extension),American Midstream,Expansion,Announced,,2019,"MS,AL",Southwest, 45 ,, 500 ,,Intrastate,state,na
Washington Expansion Project,Northwest Pipeline,Expansion,Pre-filed,,2018,"WA,OR",Northwest,,136,750, 36 , Interstate ,FERC,PF12-20
Diamond East Project,Transcontinental Gas Pipeline,Expansion,Announced,,2018,"PA,NY",Northeast, 800 , 50 ," 1,000 ",,Interstate,FERC,na
Tennessee Gas gas-to-NGL,Tennessee Gas Pipeline,Conversion,filed,,2018,"OH,TN,KY,LA","Northeast,Southwest", 412 , 964 ,,,Interstate,FERC,CP15-88
Atlantic Coast Pipeline,Atlantic Coast Pipeline,New Pipeline,Filed,,2018,"WV,VA,NC","Northeast,Southeast"," 5,000 ", 550 ," 1,500 ","42,36,20",Interstate,FERC,CP15-554
Southwest Louisiana Supply Project,Tennessee Gas Pipeline,Expansion,Filed,,2018,LA,, 170 , 2 , 295 ,,Interstate,FERC,CP16-12
Supply Header Project,Dominion Transmission,Expansion,Filed,,2018,WV,Northeast,500,34,1500," 30,36 ", Interstate ,FERC,CP15-555
Orion Project,Tennessee Gas Pipeline,Expansion,Applied,,2018,PA,Northeast, 143 , 13 , 135 ,36,Interstate,FERC,CP16-4
Northeast Energy Direct,Tennessee Gas Pipeline,New Pipeline,Pre-file,,2018,"PA,NY,MA",Northeast,5200,321,1300,, Interstate ,FERC,PF14-22
Eastern System Upgrade Project,Millennium Pipeline Co,Expansion,Prefiled,,2018,NY,Northeast, 275 , 8 , 200 ,36,interstate,FERC,na
Cheniere Corpus Christi Pipeline Project,Cheniere Corpus Christi Pipeline,Lateral,Construction,,2018,TX,Southwest,, 23 ," 2,250 ",,Interstate,FERC,
Western Marcellus Pipeline Project/Appalachian Connector,Transcontinental Interstate Pipeline,Expansion,Announced,,2018,"OH,WV,VA","Northeast,Norhteast",,,2000,, Interstate ,FERC,na
WB Xpress,Columbia Pipeline,New Pipeline,Filed,,2018,"OH,MD",Northeast, 850 , 29 ," 1,300 ",,Interstate,FERC,CP16-38
Coastal Bend Header,Gulf South Pipeline Co,Lateral,Announced,,2018,TX,Southwest, 720 , 65 ," 1,400 ","36,42",Interstate,FERC,CP15-517
Access Northeast,Algonquin Gas Transmission,Expansion,Announced,,2018,"NY,CT,MA",Northeast," 3,000 ",," 1,000 ",,Interstate,FERC,na
Oregon Pipeline,"Oregon Pipeline Company, LLC",New Pipeline,Announced,,2018,OR,Western, -   , 87 ," 1,250 ",36,Interstate,FERC,CP09-7/CP09-6
Appalachia to Market Project,Texas Eastern Transmission co,Expansion,Announced,,2018,"OH,WV,PA,NJ",Northeast,,," 1,000 ",,Interstate,FERC,na
Mountain Valley Pipeline,Mountain Valley Pipeline,New Pipeline,Applied,,2018,"WV,VA,NC","Northeast,Southeast",, 330 ," 2,000 ",,Interstate,FERC,CP16-10
Nueces County to Brownsville,Federal Electricity Commission,New Pipeline,Announced,,2018,"TX,MX","Southwest,Mexico"," 1,500 ", 155 ," 2,600 ",42,,na,na
Eastern System Upgrade Project,Millennium Pipeline,Expansion,Announced,,2018,NY,Northeast, 275 , 8 , 200 ,,Interstate,FERC,
Port Dolphin LNG Pipeline,Port Dolphin Pipeline LP,New Pipeline,Approved,,2018,FL,Southeast, 50 , 4 ," 1,200 ",36,Interstate,FERC/Coast Guard,CP07-191
Lebanon Extension Project,Texas Eastern Transmission co,Reversal,Filed,,2017,PA,Northeast,,,102,, Interstate ,FERC,CP16-3
Rayne XPress Project,Columbia Gulf Transmission,Reversal,Filed,,2017,"KY,TN,MS,LA","Southeast,Southwest", 174 ,, 621 ,,Interstate,FERC,CP15-539
Atlantic Sunrise Project (bi- directional),Transcontinental Gas Pipeline,Reversal,Approved,,2017,"PA,VA,NC,SC,GA,AL","Northeast,Central",2600,180,1700,, Interstate ,FERC,CP15-138
