Company,Field,Reservoir,Type,County,State,Region,Working,Total,MDD
ANR Pipeline Company,Austin,Michigan Stray Sandstone,Depleted Field,Mecosta,MI,Consuming East,7000000,23083675,864000
ANR Pipeline Company,Central Charlton 1,Salina A1 Niagaran Reef,Depleted Field,Otsego,MI,Consuming East,12900000,19000000,220000
ANR Pipeline Company,Cold Springs 1,Cold Springs 1,Depleted Field,Kalkaska,MI,Consuming East,15330000,19830000,200000
ANR Pipeline Company,Goodwell,Michigan Stray Sandstone,Depleted Field,Newaygo,MI,Consuming East,19300000,31696237,400000
ANR Pipeline Company,Lincoln-Freeman,Michigan Stray Sandstone,Depleted Field,Clare,MI,Consuming East,17000000,35722869,400000
ANR Pipeline Company,Loreed,Reed City Dolomite,Depleted Field,Clare,MI,Consuming East,22000000,45710000,860000
ANR Pipeline Company,Muttonville,Salina A1 Niagaran Reef,Depleted Field,OSalt Domeeola,MI,Consuming East,8200000,13413697,400000
ANR Pipeline Company,Reed City,Michigan Stray Sandstone,Depleted Field,OSalt Domeeola,MI,Consuming East,13200000,28911921,312000
ANR Pipeline Company,South Chester 15,Salina A1 Niagaran Reef,Depleted Field,Otsego,MI,Consuming East,13400000,19455000,212000
ANR Pipeline Company,Winfield,Michigan Stray Sandstone,Depleted Field,OSalt Domeeola,MI,Consuming East,6800000,15929068,100000
ANR Storage Company,Cold Springs 12,Cold Springs 12,Depleted Field,Kalkaska,MI,Consuming East,25257000,28884000,300000
ANR Storage Company,Cold Springs 31,Cold Springs 31,Depleted Field,Kalkaska,MI,Consuming East,5000000,5747000,200000
ANR Storage Company,Excelsior 6,Excelsior 6,Depleted Field,Kalkaska,MI,Consuming East,10810000,12310000,200000
ANR Storage Company,Rapid River 35,Rapid River 35,Depleted Field,Kalkaska,MI,Consuming East,15051000,17327000,250000
"Arlington Storage Company, LLC",Thomas Corner,Thomas Corners,Depleted Field,Steuben,NY,Consuming East,7000000,10000000,140000
"Atmos Pipeline and Storage, LLC",Fort Necessity,--,Salt Dome,Franklin,LA,--,--,--,--
"BCR Holdings, Inc.",Bully Camp,--,Salt Dome,Lafourche,LA,--,--,--,--
Bear Creek Storage Company,Bear Creek,Pettit,Depleted Field,Bienville,LA,Producing,59200000,107900000,900000
Black Bayou Gas Storage,Black Bayou,--,Salt Dome,Cameron,LA,--,--,--,--
Blue Lake Gas Storage Co.,Blue Lake 18-A,Blue Lake 18A,Depleted Field,Kalkaska,MI,Consuming East,47086000,54119000,700000
"Bluewater Gas Storage, LLC",Bluewater Gas Storage,Columbus Iii,Depleted Field,"St. Clair, Macomb",MI,Consuming East,26512000,33500000,800000
Bobcat Gas Storage,Port Barre Salt Dome,Port Barre Salt Dome,Salt Dome,St. Landry,LA,Producing,23640000,32050000,600000
"Cadeville Gas Storage, LLC",Cadeville,James Sand,Depleted Field,Ouachita,LA,Producing,16400000,21800000,275000
